  0.0    0.0    23.91      5.0
  0.0119999
          3     700   3      0.0 0.0 0.0
  fid   sid   dummyXflux   z        mag
  0     0     0            0.46525   21.49158187987513102
  0     0     0            0.46525   27.79990015759733524
  0     0     0            0.46525   28.47727170160039378
  0     0     0            0.46525   23.46840467269356267
  0     0     0            0.46525   28.18462688606965827
  0     0     0            0.46525   28.23352775084112665
  0     0     0            0.46525   28.30221876740837672
  0     0     0            0.46525   21.88824432165928613
  0     0     0            0.46525   28.12214348352505766
  0     0     0            0.46525   27.08230075273441884
  0     0     0            0.46525   28.80944940854445946
  0     0     0            0.46525   20.73154994511825322
  0     0     0            0.46525   28.23486044313040111
  0     0     0            0.46525   22.10666788188455101
  0     0     0            0.46525   26.54230683278914427
  0     0     0            0.46525   29.11978374664731462
  0     0     0            0.46525   24.85737286651918510
  0     0     0            0.46525   27.06757173754751733
  0     0     0            0.46525   29.19820260647940557
  0     0     0            0.46525   26.06469634949165481
  0     0     0            0.46525   26.55413344240765383
  0     0     0            0.46525   21.85184725826873731
  0     0     0            0.46525   29.22470154927995623
  0     0     0            0.46525   30.50854937197852479
  0     0     0            0.46525   23.31492016889085761
  0     0     0            0.46525   25.91035888363480666
  0     0     0            0.46525   30.87285012548264973
  0     0     0            0.46525   30.07134377351661669
  0     0     0            0.46525   30.42010066283042136
  0     0     0            0.46525   30.22169960046762327
  0     0     0            0.46525   30.72225447198641035
  0     0     0            0.46525   30.23024753857639979
  0     0     0            0.46525   30.27349309031568225
  0     0     0            0.46525   30.08640932955022862
  0     0     0            0.46525   31.19458207658384197
  0     0     0            0.46525   30.80145532389496310
  0     0     0            0.46525   31.88173105528223772
  0     0     0            0.46525   30.98972692412883134
  0     0     0            0.46525   31.44257587252254638
  0     0     0            0.46525   31.00071865780653013
  0     0     0            0.46525   31.04322375063324557
  0     0     0            0.46525   25.09796483759010854
  0     0     0            0.46525   30.91997777513239498
  0     0     0            0.46525   31.54955919712779888
  0     0     0            0.46525   31.30209582231262289
  0     0     0            0.46525   31.28493957173748186
  0     0     0            0.46525   32.14889220055284369
  0     0     0            0.46525   32.13964101230701687
  0     0     0            0.46525   30.76254674871322692
  0     0     0            0.46525   32.42745830433071319
  0     0     0            0.46525   31.46654753262201609
  0     0     0            0.46525   30.58588558773709565
  0     0     0            0.46525   21.01057027792309384
  0     0     0            0.46525   22.44235532346390016
  0     0     0            0.46525   22.17666241965464735
  0     0     0            0.46525   25.45393534544786718
  0     0     0            0.46525   23.95450853705050775
  0     0     0            0.46525   26.24477146235187774
  0     0     0            0.46525   27.78929988449991839
  0     0     0            0.46525   28.23708109494854313
  0     0     0            0.46525   28.09326473065351593
  0     0     0            0.46525   22.12193189274424299
  0     0     0            0.46525   23.90275651104204613
  0     0     0            0.46525   22.50120762786141881
  0     0     0            0.46525   23.82052731843179316
  0     0     0            0.46525   31.33708192008305815
  0     0     0            0.46525   31.72200984705055049
  0     0     0            0.46525   24.93317923209571774
  0     0     0            0.46525   24.10927447960207815
  0     0     0            0.46525   25.71112779093694911
  0     0     0            0.46525   26.24254175871157457
  0     0     0            0.46525   23.68429352077762218
  0     0     0            0.46525   22.97082744431115842
  0     0     0            0.46525   24.11614296090409226
  0     0     0            0.46525   25.67029492681905367
  0     0     0            0.46525   21.45318644848986622
  0     0     0            0.46525   22.56787684999758170
  0     0     0            0.46525   22.09007987867981271
  0     0     0            0.46525   20.97540691715510519
  0     0     0            0.46525   24.91055155415672218
  0     0     0            0.46525   24.38142047150450153
  0     0     0            0.46525   26.20385132142781259
  0     0     0            0.46525   30.92833733316763301
  0     0     0            0.46525   22.68771896033084090
  0     0     0            0.46525   22.57604867353326128
  0     0     0            0.46525   28.65934299646794869
  0     0     0            0.46525   26.33745024477588004
  0     0     0            0.46525   21.52421776928185793
  0     0     0            0.46525   28.16345745628011343
  0     0     0            0.46525   20.64958288813613407
  0     0     0            0.46525   26.78881375026381306
  0     0     0            0.46525   22.39318538542272563
  0     0     0            0.46525   24.34168737142421790
  0     0     0            0.46525   30.96477522749930955
  0     0     0            0.46525   28.72985058878742137
  0     0     0            0.46525   26.17028584270907032
  0     0     0            0.46525   22.39376052259984107
  0     0     0            0.46525   26.27171971215676649
  0     0     0            0.46525   27.38371579567122893
  0     0     0            0.46525   30.43187498134835778
  0     0     0            0.46525   24.94202819852757358
  0     0     0            0.46525   21.96144460562376111
  0     0     0            0.46525   21.00978187062059277
  0     0     0            0.46525   21.96207397412172924
  0     0     0            0.46525   25.86008066921633031
  0     0     0            0.46525   22.15121679438329494
  0     0     0            0.46525   24.43680372149160007
  0     0     0            0.46525   23.29743159444026546
  0     0     0            0.46525   19.88848713092383491
  0     0     0            0.46525   22.15062747603798954
  0     0     0            0.46525   24.58932330401480471
  0     0     0            0.46525   26.65065717409965629
  0     0     0            0.46525   30.64014170799942605
  0     0     0            0.46525   23.09139691962403163
  0     0     0            0.46525   31.21413908825702066
  0     0     0            0.46525   22.03150207889635226
  0     0     0            0.46525   23.95132562624157302
  0     0     0            0.46525   26.17792729758613746
  0     0     0            0.46525   26.15091791734599980
  0     0     0            0.46525   25.30405844580945640
  0     0     0            0.46525   23.85346880337445796
  0     0     0            0.46525   20.75977814911992070
  0     0     0            0.46525   26.90379407850255689
  0     0     0            0.46525   23.53252441926720451
  0     0     0            0.46525   22.44972675296830289
  0     0     0            0.46525   26.62932825827603267
  0     0     0            0.46525   21.98916923706019233
  0     0     0            0.46525   21.56323366418599008
  0     0     0            0.46525   26.38476585327317991
  0     0     0            0.46525   22.20960763268048765
  0     0     0            0.46525   22.33732627153371908
  0     0     0            0.46525   26.45695108974057064
  0     0     0            0.46525   24.17444364050003713
  0     0     0            0.46525   21.46075498676826498
  0     0     0            0.46525   22.36233492919591370
  0     0     0            0.46525   21.47851107403425885
  0     0     0            0.46525   22.33542487825764766
  0     0     0            0.46525   22.14415853823625469
  0     0     0            0.46525   31.84036938650546489
  0     0     0            0.46525   21.84832207452656050
  0     0     0            0.46525   23.81293677343474613
  0     0     0            0.46525   22.96827127803733859
  0     0     0            0.46525   23.59153716222201780
  0     0     0            0.46525   28.40895481850196802
  0     0     0            0.46525   21.97713831390722206
  0     0     0            0.46525   20.84020985024893236
  0     0     0            0.46525   26.46430791443135178
  0     0     0            0.46525   29.08719426737874159
  0     0     0            0.46525   23.84375777750225467
  0     0     0            0.46525   21.00568981692079262
  0     0     0            0.46525   22.16805306524572217
  0     0     0            0.46525   28.03896609231362902
  0     0     0            0.46525   20.39213592898590122
  0     0     0            0.46525   25.91248676128299877
  0     0     0            0.46525   21.64052600020978545
  0     0     0            0.46525   26.66822115091211742
  0     0     0            0.46525   22.42233368952104655
  0     0     0            0.46525   24.71855895809227732
  0     0     0            0.46525   22.17818495742655927
  0     0     0            0.46525   24.88683280216377369
  0     0     0            0.46525   31.40802340260147218
  0     0     0            0.46525   23.83181401052366866
  0     0     0            0.46525   22.02758047771789407
  0     0     0            0.46525   21.33050421046505818
  0     0     0            0.46525   26.77393896273763119
  0     0     0            0.46525   23.79737226750604862
  0     0     0            0.46525   24.76496770480309806
  0     0     0            0.46525   24.40711871366819707
  0     0     0            0.46525   22.21098321409142429
  0     0     0            0.46525   21.00586717378831736
  0     0     0            0.46525   22.85411277103963812
  0     0     0            0.46525   24.87891456861392570
  0     0     0            0.46525   22.34960872675448229
  0     0     0            0.46525   21.22795659032523474
  0     0     0            0.46525   21.55147263906268051
  0     0     0            0.46525   23.44453195519467315
  0     0     0            0.46525   20.02578057180738469
  0     0     0            0.46525   25.93959616780399102
  0     0     0            0.46525   20.83478878334671691
  0     0     0            0.46525   26.13833046814158934
  0     0     0            0.46525   24.48357932292353567
  0     0     0            0.46525   31.96029347502238238
  0     0     0            0.46525   20.24187703151150686
  0     0     0            0.46525   27.49684151335221571
  0     0     0            0.46525   21.90660583024800800
  0     0     0            0.46525   23.75634074624758085
  0     0     0            0.46525   27.51192139930604696
  0     0     0            0.46525   26.80390986050628754
  0     0     0            0.46525   20.17248214929998795
  0     0     0            0.46525   25.11591335233751465
  0     0     0            0.46525   21.17079643049009974
  0     0     0            0.46525   22.06244565578206718
  0     0     0            0.46525   25.77607110999728235
  0     0     0            0.46525   23.22224014769960831
  0     0     0            0.46525   31.07373397538723481
  0     0     0            0.46525   20.96166817423900142
  0     0     0            0.46525   22.77704885393333356
  0     0     0            0.46525   22.32074537072743681
  0     0     0            0.46525   28.82101417903908214
  0     0     0            0.46525   31.32359856559014588
  0     0     0            0.46525   22.14053523361588915
  0     0     0            0.46525   28.67693220169305590
  0     0     0            0.46525   25.24058541138429845
  0     0     0            0.46525   21.98351678820116462
  0     0     0            0.46525   28.05044343367686110
  0     0     0            0.46525   24.01512891373282699
